ni,nc,method,par,true_value,value,se
100,10,G,z,0.5,-0.32557097358236486,0.09935116145061329
500,10,G,z,0.5,-0.18556200775731002,0.0025024866336025298
1e3,10,G,z,0.5,-2.9955119779064723,0.05687343858880922
100,25,G,z,0.5,-1.8079915213269522,0.1650988082983531
500,25,G,z,0.5,-0.30827876392439446,0.0058108585071749985
1e3,25,G,z,0.5,0.06374847354029278,0.0663018689956516
100,50,G,z,0.5,2.9627603509901843,0.07278578664408997
500,50,G,z,0.5,-0.16550355732508115,0.13257829408394173
1e3,50,G,z,0.5,-0.799512807487424,0.17240895656868815
100,10,J,z,0.5,1.6690158590330162,0.0669849791447632
500,10,J,z,0.5,-0.9687935890193546,0.011352072993759066
1e3,10,J,z,0.5,1.9052568904740506,0.14077804906992242
100,25,J,z,0.5,2.797621267301202,0.2407420832896605
500,25,J,z,0.5,-0.13195615946403172,0.03323247126536444
1e3,25,J,z,0.5,1.0578013630111647,0.11134489788673818
100,50,J,z,0.5,1.1289928069323656,0.1541982150520198
500,50,J,z,0.5,-2.7278294447770124,0.11815511318854988
1e3,50,J,z,0.5,-1.1247319647817826,0.12111023586476222
100,10,N,z,0.5,0.8857810085606895,0.17956185329239815
500,10,N,z,0.5,-0.3613619509849023,0.06752108503133059
1e3,10,N,z,0.5,2.4281911095172273,0.1759321895078756
100,25,N,z,0.5,0.4572558270907788,0.18472970789298415
500,25,N,z,0.5,-1.5940979858849924,0.009051513625308871
1e3,25,N,z,0.5,-0.055796419848048284,0.20111309207277372
100,50,N,z,0.5,-3.0237439468963627,0.025041854532901198
500,50,N,z,0.5,0.2266267077797839,0.024954505846835673
1e3,50,N,z,0.5,0.3313892515497906,0.12112059601349756
100,10,G,o,0.5,3.454164823298839,0.2070255174767226
500,10,G,o,0.5,-0.024852929209486008,0.04434202203992754
1e3,10,G,o,0.5,1.2438755342443526,0.19984137936262414
100,25,G,o,0.5,-0.7318929239172698,0.15059252019273117
500,25,G,o,0.5,-0.20832368765772846,0.03558001946657896
1e3,25,G,o,0.5,0.4530546654829771,0.1093112391536124
100,50,G,o,0.5,-0.41156720383890466,0.10550433292519301
500,50,G,o,0.5,1.4284907642431954,0.17837530007818714
1e3,50,G,o,0.5,2.28225164291017,0.05358823196729645
100,10,J,o,0.5,1.5177529964420033,0.20020947291050106
500,10,J,o,0.5,1.1029016851465732,0.1482711048447527
1e3,10,J,o,0.5,0.6842141258020671,0.14924794930266216
100,25,J,o,0.5,-0.1546141936806007,0.16065485874423757
500,25,J,o,0.5,-2.181199179939699,0.08022245933534577
1e3,25,J,o,0.5,2.2210382985381347,0.05992733599850908
100,50,J,o,0.5,1.2935836067612758,0.028033787792082876
500,50,J,o,0.5,3.0099731391775615,0.15905551478499547
1e3,50,J,o,0.5,2.6857754573161423,0.05369115073699504
100,10,N,o,0.5,2.3914114133068853,0.1248823765781708
500,10,N,o,0.5,-1.4235295715426386,0.16186676261713728
1e3,10,N,o,0.5,2.1241990983340457,0.15195775183383375
100,25,N,o,0.5,1.271331892041113,0.20510186738101766
500,25,N,o,0.5,-1.9219063694034064,0.017947652202565223
1e3,25,N,o,0.5,-1.4233706072573111,0.08784165163524449
100,50,N,o,0.5,0.6831466187045667,0.07195567019516602
500,50,N,o,0.5,2.352259913476331,0.20057569234631956
1e3,50,N,o,0.5,1.0144661965943507,0.11550114979036152
100,10,G,x,1,1.8008946975138236,0.814380721654743
500,10,G,x,1,0.606399989680302,0.2701055514626205
1e3,10,G,x,1,-0.10708678916591619,0.08016998111270368
100,25,G,x,1,-1.0640908146706765,0.9022833912167698
500,25,G,x,1,1.6098823867891343,0.9083007960580289
1e3,25,G,x,1,2.5366208661580094,0.36686488846316934
100,50,G,x,1,-1.736194386690523,0.4735541164409369
500,50,G,x,1,1.5548898784991199,0.10815788805484772
1e3,50,G,x,1,0.4941414626713787,0.22270491113886237
100,10,J,x,1,-0.18471072555247847,0.9379602654371411
500,10,J,x,1,0.2755747565114893,0.7582643481437117
1e3,10,J,x,1,2.970480443085916,0.3888626485131681
100,25,J,x,1,2.9006994321793957,0.6995671677868813
500,25,J,x,1,0.8246878865938325,0.4465057260822505
1e3,25,J,x,1,2.6127687616068034,0.4902585952077061
100,50,J,x,1,1.6234222247017303,0.47337843175046146
500,50,J,x,1,-2.2527859725035273,0.13133393274620175
1e3,50,J,x,1,2.2793183311651877,0.24716317420825362
100,10,N,x,1,-0.03150761654675427,0.2761450903490186
500,10,N,x,1,-0.9998676902805581,0.2643880960531533
1e3,10,N,x,1,3.0046512809627397,0.6117130855564028
100,25,N,x,1,4.361949574309242,0.7616578317247331
500,25,N,x,1,2.234890286553031,0.09275210904888809
1e3,25,N,x,1,1.3930837471470428,0.24041902273893356
100,50,N,x,1,-0.008908470005351443,0.15195930912159383
500,50,N,x,1,0.04226393632667613,0.22512868093326688
1e3,50,N,x,1,3.907009613953177,0.43373348005115986
100,10,G,f,1,3.6301523512972644,0.8053214882966131
500,10,G,f,1,-0.823919069450374,0.14837167458608747
1e3,10,G,f,1,4.1347020708182916,0.1629849853925407
100,25,G,f,1,2.2322982030110095,0.6729100523516536
500,25,G,f,1,-0.6234328671666733,0.5272581847384572
1e3,25,G,f,1,-0.42283078121601547,0.0532807894051075
100,50,G,f,1,1.8673514534544244,0.8634650046005845
500,50,G,f,1,-0.9756626407723117,0.626544592436403
1e3,50,G,f,1,3.362015072569655,0.7608681132551283
100,10,J,f,1,0.22060111480503508,0.6517775228712708
500,10,J,f,1,1.550019242721494,0.7242317425552756
1e3,10,J,f,1,-0.5823707033529504,0.7820408781990409
100,25,J,f,1,-0.7849645391560931,0.222048447933048
500,25,J,f,1,0.44975829724606065,0.02777847182005644
1e3,25,J,f,1,0.32586324860032545,0.41463662567548454
100,50,J,f,1,3.879961850011499,0.5778126430232078
500,50,J,f,1,-1.2461870831110091,0.643509809859097
1e3,50,J,f,1,-2.845672737322874,0.21813367423601449
100,10,N,f,1,4.086764759781204,0.17111934442073107
500,10,N,f,1,1.3474277890355415,0.4543410383630544
1e3,10,N,f,1,-0.6234739524563484,0.9156309557147324
100,25,N,f,1,-0.8425599064876288,0.8093843304086477
500,25,N,f,1,-1.0644962746285542,0.274896418210119
1e3,25,N,f,1,2.4319717143142237,0.9273744118399918
100,50,N,f,1,4.341299780342305,0.919786237180233
500,50,N,f,1,1.0488938065162696,0.29663793719373643
1e3,50,N,f,1,-0.5626534131538006,0.2391866275575012
100,10,G,v,1,-2.4658270798598716,0.9942242680117488
500,10,G,v,1,1.479411249517987,0.8861970759462565
1e3,10,G,v,1,1.1222300322898513,0.08325073076412082
100,25,G,v,1,0.23957647660421744,0.5994576462544501
500,25,G,v,1,-1.7415065983400355,0.14295872603543103
1e3,25,G,v,1,-1.567591054788526,0.7511607334017754
100,50,G,v,1,3.163137832376562,0.04453329858370125
500,50,G,v,1,-2.3733658808100295,4.5728706754744053e-4
1e3,50,G,v,1,-0.5333374006347471,0.9654106486123055
100,10,J,v,1,1.8961293257465268,0.09375003376044333
500,10,J,v,1,1.7932833275605802,0.8848551479168236
1e3,10,J,v,1,3.3805361561700527,0.27112907939590514
100,25,J,v,1,2.2080899043208513,0.7934782665688545
500,25,J,v,1,1.3814246181060936,0.10390009265393019
1e3,25,J,v,1,-1.5400403416840818,0.2689688242971897
100,50,J,v,1,-2.6656011582013104,0.31276839692145586
500,50,J,v,1,5.905442180688082,0.2447397036012262
1e3,50,J,v,1,7.142553066609504,0.6145429362077266
100,10,N,v,1,1.0098291039562128,0.28393485164269805
500,10,N,v,1,-0.3479089342071815,0.35420093266293406
1e3,10,N,v,1,2.2772929635125436,0.6284844074398279
100,25,N,v,1,3.2277453671844967,0.7525470585096627
500,25,N,v,1,2.4676793211568055,0.25978192826732993
1e3,25,N,v,1,3.7206431188848477,0.17807237501256168
100,50,N,v,1,-1.364543829379115,0.4848751260433346
500,50,N,v,1,-3.0822663815541054,0.5076185467187315
1e3,50,N,v,1,3.820265927673622,0.6700766074936837
100,10,G,z,1,4.605642514567831,0.06807339028455317
500,10,G,z,1,2.006787598167443,0.6019882189575583
1e3,10,G,z,1,2.058044584050573,0.9380673123523593
100,25,G,z,1,2.50679643409872,0.8550986126065254
500,25,G,z,1,-0.694513499674227,0.6611215639859438
1e3,25,G,z,1,3.5882001540955657,0.8848779289983213
100,50,G,z,1,4.309370820151266,0.8047905098646879
500,50,G,z,1,0.059118117667871006,0.14945076941512525
1e3,50,G,z,1,1.6972139904865235,0.9659089196939021
100,10,J,z,1,1.089979458671239,0.8241856868844479
500,10,J,z,1,1.8945158184958477,0.06387123558670282
1e3,10,J,z,1,-0.29184437672735064,0.9589265526738018
100,25,J,z,1,3.3676585991104746,0.006288533098995686
500,25,J,z,1,1.8768600783440619,0.596741387154907
1e3,25,J,z,1,2.710539755105668,0.014559449162334204
100,50,J,z,1,-0.25950464786797345,0.5106349377892911
500,50,J,z,1,2.6728089278931666,0.49575230246409774
1e3,50,J,z,1,3.88788487531377,0.560093431500718
100,10,N,z,1,-0.2827882568753437,0.993110862094909
500,10,N,z,1,0.8518271922836551,0.3184566197451204
1e3,10,N,z,1,-0.20059240375067633,0.23049533739686012
100,25,N,z,1,1.9486338690526472,0.4500572350807488
500,25,N,z,1,-1.4051889659858108,0.7753371570724994
1e3,25,N,z,1,-0.8480737115842749,0.2837427861522883
100,50,N,z,1,-0.7020062385635317,0.23532356694340706
500,50,N,z,1,0.8437054419228536,0.6816807428840548
1e3,50,N,z,1,-1.3811857964870966,0.60881835850887
100,10,G,o,1,2.3908963971404664,0.13588196248747408
500,10,G,o,1,-1.137144914090122,0.7028962601907551
1e3,10,G,o,1,-2.638682943474148,0.21972239343449473
100,25,G,o,1,0.6945146816733638,0.7425460079684854
500,25,G,o,1,4.889418564987203,0.1667379136197269
1e3,25,G,o,1,-0.02919127174684144,0.3619840322062373
100,50,G,o,1,-0.6495425181779091,0.631348836934194
500,50,G,o,1,1.7060691204954117,0.6692022325005382
1e3,50,G,o,1,-0.5915462704956749,0.6961195217445493
100,10,J,o,1,-0.795205593795876,0.20363312936387956
500,10,J,o,1,0.9432601124487852,0.6021910449489951
1e3,10,J,o,1,1.9280437850545273,0.3145576084498316
100,25,J,o,1,-0.6772012526501285,0.4639011083636433
500,25,J,o,1,0.7630087488042104,0.9524243720807135
1e3,25,J,o,1,2.522075810198702,0.9952738299034536
100,50,J,o,1,1.5239123007314261,0.09521546703763306
500,50,J,o,1,1.6866374264190371,0.6428846339695156
1e3,50,J,o,1,-2.856027933837476,0.5262128883041441
100,10,N,o,1,0.630486610449688,0.21492505236528814
500,10,N,o,1,4.954305432926879,0.11913096206262708
1e3,10,N,o,1,-2.72115625247967,0.5099125825800002
100,25,N,o,1,1.148108401304835,0.15818903921172023
500,25,N,o,1,-0.18275486605360447,0.8737963025923818
1e3,25,N,o,1,0.5482514463195077,0.5121577200479805
100,50,N,o,1,-0.8678776130066108,0.3327712081372738
500,50,N,o,1,3.649306388567078,0.16169203980825841
1e3,50,N,o,1,1.1971943655063206,0.27861500601284206
100,10,G,x,1.5,2.273909724815315,0.08072237059241161
500,10,G,x,1.5,2.9139951015000536,0.9048165478161536
1e3,10,G,x,1.5,4.039254066855548,0.09020030661486089
100,25,G,x,1.5,2.111787232962466,2.156031666439958
500,25,G,x,1.5,5.125311259825697,1.853189344285056
1e3,25,G,x,1.5,-0.0798404907612269,0.46157637366559356
100,50,G,x,1.5,7.222365347379602,0.6608201113413088
500,50,G,x,1.5,4.373654959836502,0.6753496690071188
1e3,50,G,x,1.5,6.980076870373145,1.8980964057845995
100,10,J,x,1.5,1.791050104251675,1.441042700666003
500,10,J,x,1.5,-1.4522966729088789,1.1911246963427402
1e3,10,J,x,1.5,5.4519066097325,0.9115936806192622
100,25,J,x,1.5,-1.648978070628333,1.5640117586008273
500,25,J,x,1.5,-2.283457056779711,1.043221645813901
1e3,25,J,x,1.5,-1.0138522978033078,0.5736224318970926
100,50,J,x,1.5,-5.725286935444099,0.9442049679346383
500,50,J,x,1.5,0.5736561956411593,1.3491853845189326
1e3,50,J,x,1.5,1.9969236474783219,0.8822321488405578
100,10,N,x,1.5,10.24204488504807,1.3306219715159386
500,10,N,x,1.5,0.4910926186758564,1.8542270459001884
1e3,10,N,x,1.5,-1.5326947834318876,0.9576194511610083
100,25,N,x,1.5,6.514632501804687,0.6295846044667996
500,25,N,x,1.5,7.642666838504489,0.19262661592802033
1e3,25,N,x,1.5,5.587285301375972,0.40904270543251187
100,50,N,x,1.5,4.1991194193279835,1.763425576093141
500,50,N,x,1.5,-8.380697856648926,1.1469724220805801
1e3,50,N,x,1.5,0.5473081824682265,1.2796066897572018
100,10,G,f,1.5,-0.9314957506114387,1.7654827507794835
500,10,G,f,1.5,-0.31309728976632467,1.3093528848839924
1e3,10,G,f,1.5,7.376786944847022,1.0138409954379313
100,25,G,f,1.5,-1.4037269720307775,0.4243686072877608
500,25,G,f,1.5,-0.763558121348161,1.4490917191724293
1e3,25,G,f,1.5,1.2407816465891417,1.5771793261519633
100,50,G,f,1.5,4.269148762023525,2.1266794741968624
500,50,G,f,1.5,1.8004107755478753,0.7345802578493021
1e3,50,G,f,1.5,5.119020396485917,0.49762873293366283
100,10,J,f,1.5,1.197826436775598,0.9727009335765615
500,10,J,f,1.5,-4.822900543395094,2.180009062285535
1e3,10,J,f,1.5,10.898083047198584,0.4787373491562903
100,25,J,f,1.5,-2.1501094452913536,0.013014057709369808
500,25,J,f,1.5,-2.51387898452563,1.850528020877391
1e3,25,J,f,1.5,5.363547574867996,1.4746706059668213
100,50,J,f,1.5,5.140834831344085,1.191625936247874
500,50,J,f,1.5,0.7126324491451596,1.0204733932041563
1e3,50,J,f,1.5,4.762682467349323,0.7693496065330692
100,10,N,f,1.5,-0.6661135266490401,0.7713915345375426
500,10,N,f,1.5,-2.3157339382649216,1.869838881189935
1e3,10,N,f,1.5,3.4352412290032817,0.777138905483298
100,25,N,f,1.5,1.1642613780522102,0.436630125681404
500,25,N,f,1.5,4.256000385741821,1.8216661689220928
1e3,25,N,f,1.5,6.728470421149215,1.9981638615718111
100,50,N,f,1.5,-0.460888801740289,1.4049520167172886
500,50,N,f,1.5,4.010275139911135,2.0323378981556743
1e3,50,N,f,1.5,0.6456134389513111,1.7774247353081591
100,10,G,v,1.5,3.9668365952594904,0.17910282901721075
500,10,G,v,1.5,-0.7123150547002566,0.11435054935282096
1e3,10,G,v,1.5,4.199768105797888,1.0034758417750709
100,25,G,v,1.5,-1.438673273869699,1.6413239555549808
500,25,G,v,1.5,1.0019825867216614,1.7401736538740806
1e3,25,G,v,1.5,-1.9208997261748166,1.8941505855764262
100,50,G,v,1.5,-1.510220654914408,0.40645068360026926
500,50,G,v,1.5,-1.4867859852844885,0.6202653158688918
1e3,50,G,v,1.5,1.6728337370558446,0.9644567340728827
100,10,J,v,1.5,-1.6042152078840668,1.702782073407434
500,10,J,v,1.5,-6.094915567099496,1.5516857959446497
1e3,10,J,v,1.5,-0.6627108455713517,0.9531531231477857
100,25,J,v,1.5,7.160833863947781,0.41027473675785586
500,25,J,v,1.5,3.280915476233215,1.4120877116220072
1e3,25,J,v,1.5,2.646176452249569,0.8726687666494399
100,50,J,v,1.5,0.538277031204777,0.8589200539863668
500,50,J,v,1.5,-3.2012038549425146,1.2126466676127166
1e3,50,J,v,1.5,1.6495829465561354,1.9608979048789479
100,10,N,v,1.5,-1.1229197663469792,2.018039849179331
500,10,N,v,1.5,4.514675110285214,2.084262294752989
1e3,10,N,v,1.5,-0.6789085523636862,0.9539185674511828
100,25,N,v,1.5,2.7617067522159964,1.0204717540182173
500,25,N,v,1.5,6.237896613663594,0.6778277163393795
1e3,25,N,v,1.5,0.5672692815626142,2.2032046209205873
100,50,N,v,1.5,-2.0716099714133076,0.5670237026643008
500,50,N,v,1.5,2.1674972548993345,1.3689915089635178
1e3,50,N,v,1.5,-1.853220923459101,0.3028436223976314
100,10,G,z,1.5,5.644442849193396,1.9286364991567098
500,10,G,z,1.5,-0.4806939176995739,0.2717653610743582
1e3,10,G,z,1.5,1.6793944466819468,1.7457321381079964
100,25,G,z,1.5,3.6196347913831977,1.0300033646053635
500,25,G,z,1.5,3.3282863474951734,0.9805491017759778
1e3,25,G,z,1.5,1.1682830513915454,0.21000117697985843
100,50,G,z,1.5,5.3379119458853594,0.29581838368903846
500,50,G,z,1.5,3.791731191609874,1.10682985332096
1e3,50,G,z,1.5,-0.7562317012259321,1.8806631850311533
100,10,J,z,1.5,-5.802225770343262,0.07039124274160713
500,10,J,z,1.5,2.949478284881928,0.5103156507248059
1e3,10,J,z,1.5,4.545163365323491,0.8655112499836832
100,25,J,z,1.5,-2.998209121329176,0.27989913790952414
500,25,J,z,1.5,-1.674110328517464,1.5343668535351753
1e3,25,J,z,1.5,-0.6977804747864287,0.037834890419617295
100,50,J,z,1.5,0.6062205400298321,0.36124933138489723
500,50,J,z,1.5,0.27653245917501335,0.41671017761109397
1e3,50,J,z,1.5,1.4426549203121597,2.0854416190995835
100,10,N,z,1.5,-1.9750448714366544,1.1575703317648731
500,10,N,z,1.5,-7.703675567008931,0.26394088327651843
1e3,10,N,z,1.5,-0.744390975450469,1.8759901493322104
100,25,N,z,1.5,4.998741831919046,2.075502368796151
500,25,N,z,1.5,0.6412223321483909,2.2262105714762583
1e3,25,N,z,1.5,3.0468160283750474,0.7712204682757147
100,50,N,z,1.5,0.6294913543119623,1.7114115271833725
500,50,N,z,1.5,1.706382271230531,1.5571837287861854
1e3,50,N,z,1.5,-5.382339211537217,1.2569264515768737
100,10,G,o,1.5,6.839770359203322,0.2295547400135547
500,10,G,o,1.5,4.390003775035201,1.8783217868185602
1e3,10,G,o,1.5,9.196985572341045,1.0310696841333993
100,25,G,o,1.5,0.660474359717989,0.1986885707010515
500,25,G,o,1.5,3.4216834453967095,1.2771620264975354
1e3,25,G,o,1.5,8.102284637459668,1.5334283967968076
100,50,G,o,1.5,3.6743006243595797,0.7053684383863583
500,50,G,o,1.5,0.8764683243693532,1.6357500470476225
1e3,50,G,o,1.5,7.467741114005497,1.4160390686010942
100,10,J,o,1.5,0.2879211641997299,1.2537797070108354
500,10,J,o,1.5,2.9823396130768733,0.29299120808718726
1e3,10,J,o,1.5,1.5313695999353891,1.7469845065497793
100,25,J,o,1.5,2.476094044486051,0.01456597598735243
500,25,J,o,1.5,-4.214189674665299,0.8578006288153119
1e3,25,J,o,1.5,1.5384037810926636,1.5165766889113002
100,50,J,o,1.5,-7.572853296296939,1.0796868180041201
500,50,J,o,1.5,5.277408332182378,1.2698587412014604
1e3,50,J,o,1.5,-4.935986511551643,2.1109930766397156
100,10,N,o,1.5,1.294947401932078,1.1943329378846101
500,10,N,o,1.5,2.695302975536605,1.118409326823894
1e3,10,N,o,1.5,5.438681432645044,2.0577293153037317
100,25,N,o,1.5,-5.328885030014032,0.26742136327084154
500,25,N,o,1.5,7.455589384133371,1.5050430748960935
1e3,25,N,o,1.5,-3.2111286575497964,0.5497998964274302
100,50,N,o,1.5,4.186218789668182,1.517001339700073
500,50,N,o,1.5,3.0342611045868084,1.5567373631056398
1e3,50,N,o,1.5,2.4452129527668878,2.007430450001266
100,10,G,x,2,5.593812236500882,3.6075791781768203
500,10,G,x,2,4.841131137682247,3.2653135480359197
1e3,10,G,x,2,1.758399305624854,1.2766143372282386
100,25,G,x,2,-0.9000907151958923,1.8827123325318098
500,25,G,x,2,5.1383336740485746,2.3671318851411343
1e3,25,G,x,2,7.866648922412948,1.8901712391525507
100,50,G,x,2,5.742980769383797,3.4625248117372394
500,50,G,x,2,6.2150316856199845,0.8883678540587425
1e3,50,G,x,2,9.097090712750454,0.9211503602564335
100,10,J,x,2,-6.660433022565508,3.2354083890095353
500,10,J,x,2,7.416456333830466,0.44892667327076197
1e3,10,J,x,2,9.612215618589811,0.6567316269502044
100,25,J,x,2,-14.2389534103168,2.9390837075188756
500,25,J,x,2,0.3083014370511705,2.660966736264527
1e3,25,J,x,2,7.250530432303251,0.38946535903960466
100,50,J,x,2,-11.334476641210466,2.2496707253158092
500,50,J,x,2,-1.598195449842855,3.2085721669718623
1e3,50,J,x,2,3.598529407695202,3.9509027171880007
100,10,N,x,2,7.03068960176881,1.2422545086592436
500,10,N,x,2,21.633599226028824,0.037996768951416016
1e3,10,N,x,2,-2.981443113439882,0.9938444551080465
100,25,N,x,2,4.403950389407395,1.2941537592560053
500,25,N,x,2,-3.314500784189068,0.7248724550008774
1e3,25,N,x,2,-5.16915019125508,1.33890172932297
100,50,N,x,2,8.402495168157076,3.069610295817256
500,50,N,x,2,7.220681860677381,2.398385303094983
1e3,50,N,x,2,-6.220790299814199,0.3024533521384001
100,10,G,f,2,16.21260203672312,2.6042711501941085
500,10,G,f,2,11.289683966856526,0.5616927416995168
1e3,10,G,f,2,-7.139307518856398,2.3764139506965876
100,25,G,f,2,-1.8058770617342392,1.7921575121581554
500,25,G,f,2,-3.0383519084998163,0.6537702344357967
1e3,25,G,f,2,3.3576586536770234,2.3653523037210107
100,50,G,f,2,1.828217727996339,0.02695564739406109
500,50,G,f,2,-0.060358595208076515,1.7811703998595476
1e3,50,G,f,2,6.781675403729291,1.3031747564673424
100,10,J,f,2,-0.8907533981726932,2.0125706624239683
500,10,J,f,2,-8.935949606375928,0.6749119684100151
1e3,10,J,f,2,8.729683632831382,3.668422145769
100,25,J,f,2,12.414037372871322,1.7541725132614374
500,25,J,f,2,-3.4534199588446963,2.172449824400246
1e3,25,J,f,2,-3.297577530830126,3.186498796567321
100,50,J,f,2,0.777494503015872,1.7787972623482347
500,50,J,f,2,9.041804487560166,0.193443076685071
1e3,50,J,f,2,18.597675850708637,1.2460261899977922
100,10,N,f,2,9.940020273447239,2.9891139613464475
500,10,N,f,2,11.956839511241375,2.100169758312404
1e3,10,N,f,2,6.303627950900841,2.2113149240612984
100,25,N,f,2,-2.254207804025004,1.314350581727922
500,25,N,f,2,3.2305945030215906,3.2999126156792045
1e3,25,N,f,2,1.8871511618319325,2.3246726198121905
100,50,N,f,2,-1.2232658129209564,3.6728765731677413
500,50,N,f,2,-17.171949123224536,2.70973776653409
1e3,50,N,f,2,9.5796752164061445,2.2281102119013667
100,10,G,v,2,20.12442278091548,3.317190373316407
500,10,G,v,2,4.8969196685571506,0.6519294073805213
1e3,10,G,v,2,-0.31103184327148714,2.6105437660589814
100,25,G,v,2,6.995495689329944,1.7116329316049814
500,25,G,v,2,-2.0772502824380137,3.6668942579999566
1e3,25,G,v,2,3.9394345546801146,1.735485378652811
100,50,G,v,2,-3.7979327778385743,2.9157018326222897
500,50,G,v,2,1.938337495547899,2.554220624268055
1e3,50,G,v,2,3.618894181406364,2.9496416840702295
100,10,J,v,2,5.978068404709952,3.683391399681568
500,10,J,v,2,7.118076919066526,1.0469423988834023
1e3,10,J,v,2,-12.795246463089802,1.4132172288373113
100,25,J,v,2,3.46977480541815,2.4006751272827387
500,25,J,v,2,0.03868863501179898,3.7630406580865383
1e3,25,J,v,2,6.456807850997204,0.0548985842615366
100,50,J,v,2,5.212105096133221,1.8551708282902837
500,50,J,v,2,-9.222897226410046,3.087465390563011
1e3,50,J,v,2,0.80478860168461,0.8316131355240941
100,10,N,v,2,-31.641482408443103,3.278477156534791
500,10,N,v,2,5.702566731415693,1.2992876870557666
1e3,10,N,v,2,-0.7395011164426188,0.505686316639185
100,25,N,v,2,6.19749656915251,0.7015578672289848
500,25,N,v,2,-1.4712861785859022,3.569979258812964
1e3,25,N,v,2,7.972408326361286,3.190078374929726
100,50,N,v,2,10.850664867871487,0.14663401246070862
500,50,N,v,2,16.660240180446262,1.6830388810485601
1e3,50,N,v,2,17.74136491709525,3.881510171107948
100,10,G,z,2,-1.9230761171261408,2.607573085464537
500,10,G,z,2,-9.055668672302772,3.555961776524782
1e3,10,G,z,2,16.527715675669846,0.26274420879781246
100,25,G,z,2,10.697810192310174,1.8181377798318863
500,25,G,z,2,4.039125971741678,1.8256796654313803
1e3,25,G,z,2,1.8249974824183446,0.5170564893633127
100,50,G,z,2,7.7807791103943185,2.677573099732399
500,50,G,z,2,-1.7890736358526538,0.509775766171515
1e3,50,G,z,2,9.73388250001958,1.2642746083438396
100,10,J,z,2,4.607193195289781,2.118934509344399
500,10,J,z,2,10.422019760090876,1.2331355884671211
1e3,10,J,z,2,11.280085395127722,3.104542639106512
100,25,J,z,2,5.129733363748947,2.7100205663591623
500,25,J,z,2,6.776401827806157,0.5616705240681767
1e3,25,J,z,2,10.966492169190897,0.4193284399807453
100,50,J,z,2,-4.245135042190923,2.7879693182185292
500,50,J,z,2,0.2084288208187699,3.292612192220986
1e3,50,J,z,2,-1.9259383112541082,2.8600730849429965
100,10,N,z,2,-3.319742174468286,2.627289120107889
500,10,N,z,2,-3.448951949424808,2.1043561697006226
1e3,10,N,z,2,11.573730350313,2.2263152645900846
100,25,N,z,2,5.331840908451145,2.3600819231942296
500,25,N,z,2,7.763663074839015,0.8627764536067843
1e3,25,N,z,2,6.638460008460706,0.16870033275336027
100,50,N,z,2,-0.9036092672813245,2.744709212332964
500,50,N,z,2,-9.332397909532784,2.3946290919557214
1e3,50,N,z,2,-11.606008880762227,1.569172764196992
100,10,G,o,2,-1.3722926155680062,0.6074798982590437
500,10,G,o,2,-4.85105818031126,2.0650100708007813
1e3,10,G,o,2,-20.953548785113774,0.22998657543212175
100,25,G,o,2,-6.05115007452379,3.8360160440206528
500,25,G,o,2,4.129720850046684,0.38797255512326956
1e3,25,G,o,2,8.9440271960789,3.4992886194959283
100,50,G,o,2,21.165390447254918,2.607610996812582
500,50,G,o,2,-12.371932720445889,1.0038026832044125
1e3,50,G,o,2,1.7765393128399296,1.948800335638225
100,10,J,o,2,-2.446281534480039,1.3256579330191016
500,10,J,o,2,6.559216531084234,3.384333247318864
1e3,10,J,o,2,14.639424471616552,3.5822071582078934
100,25,J,o,2,-0.8165854800756556,3.7196920830756426
500,25,J,o,2,-2.2601104892780572,0.40103741455823183
1e3,25,J,o,2,5.431090734209285,2.7985540023073554
100,50,J,o,2,9.249773148841708,1.7438135277479887
500,50,J,o,2,6.561139306726026,3.9249888015910983
1e3,50,J,o,2,-4.36493759353421,2.7412942657247186
100,10,N,o,2,2.33290019930704,1.7737018475309014
500,10,N,o,2,-1.283308178077185,3.469131151214242
1e3,10,N,o,2,8.342589017731306,1.3163968082517385
100,25,N,o,2,-0.78277148878706,2.185063499957323
500,25,N,o,2,5.129904838130468,3.2945965817198157
1e3,25,N,o,2,-5.011527357393568,1.523731012828648
100,50,N,o,2,-7.043855202442385,3.0107482029125094
500,50,N,o,2,1.2070206001478327,1.0812389543280005
1e3,50,N,o,2,-4.650905834334963,3.7527787992730737
100,10,G,x,-0.5,3.5371096767587584,0.24571261677192524
500,10,G,x,-0.5,-3.800680435849697,0.11172559909755364
1e3,10,G,x,-0.5,-5.526660823186998,0.0064185631345026195
100,25,G,x,-0.5,-1.6648603327258586,0.19651321205310524
500,25,G,x,-0.5,-1.6404451009528318,0.19714020629180595
1e3,25,G,x,-0.5,-3.038152105714513,0.1319042241666466
100,50,G,x,-0.5,0.7045323736630014,0.06702400912763551
500,50,G,x,-0.5,0.0968812231060584,0.11758642370114103
1e3,50,G,x,-0.5,0.5696181401940787,0.09839416423346847
100,10,J,x,-0.5,-0.6872586215221319,0.053708121937233955
500,10,J,x,-0.5,-2.556237230294905,0.019441115495283157
1e3,10,J,x,-0.5,4.789482160213254,0.09851659805281088
100,25,J,x,-0.5,-2.0006093290375073,0.175289545673877
500,25,J,x,-0.5,2.4172648519033357,0.2492696345434524
1e3,25,J,x,-0.5,-2.935496553264947,0.17831803276203573
100,50,J,x,-0.5,-4.533805966313878,0.24399795639328659
500,50,J,x,-0.5,-1.1760864290122064,0.12428931321483105
